Form	Hyphenation
dipilih	di➊pi➋lih
dipimpin	di➊pim➋pin
diplomasi	di➊plo➊ma➊si
diplomat	di➊plo➊mat
diplomatik	di➊plo➊ma➊tik
diproduksi	di➊pro➋duk➋si
dipublikasikan	di➊pu➋bli➋ka➋si➊kan
diputuskan	di➊pu➋tus➊kan
dirasakan	di➊ra➋sa➊kan
direktur	di➊rek➊tur
direncanakan	di➊ren➋ca➋na➊kan
diri	di➊ri
dirinya	di➋ri➊nya
disambut	di➊sam➋but
disampaikan	di➊sam➋pai➊kan
disana	di➊sa➋na
disebabkan	di➊se➋bab➊kan
disebut	di➊se➋but
disebutkan	di➊se➋but➊kan
diselenggarakan	di➊se➋leng➋ga➋ra➊kan
diselesaikan	di➊se➋le➋sai➊kan
disepakati	di➊se➋pa➋ka➋ti
diserahkan	di➊se➋rah➊kan
diserang	di➊se➋rang
disetujui	di➊se➋tu➋jui
disini	di➊si➋ni
diskriminasi	dis➊kri➊mi➊na➊si
diskusi	dis➊ku➊si
distrik	dis➊trik
ditahan	di➊ta➋han
ditambah	di➊tam➋bah
ditandatangani	di➊tan➋da➊tan➋ga➋ni
ditangani	di➊tan➋ga➋ni
ditangkap	di➊tang➋kap
ditarik	di➊ta➋rik
ditawarkan	di➊ta➋war➊kan
ditembak	di➊tem➋bak
ditempatkan	di➊tem➋pat➊kan
ditemukan	di➊te➋mu➊kan
ditentukan	di➊ten➋tu➊kan
diterapkan	di➊te➋rap➊kan
diterima	di➊te➋ri➋ma
ditetapkan	di➊te➋tap➊kan
ditingkatkan	di➊ting➋kat➊kan
ditolak	di➊to➋lak
dituding	di➊tu➋ding
dituduh	di➊tu➋duh
ditugaskan	di➊tu➋gas➊kan
ditujukan	di➊tu➋ju➊kan
ditunda	di➊tun➋da
ditunjukkan	di➊tun➋juk➊kan
dituntut	di➊tun➋tut
diturunkan	di➊tu➋run➊kan
ditutup	di➊tu➋tup
diubah	di➊ubah
diumumkan	di➊umum➊kan
diungkapkan	di➊ung➋kap➊kan
divonis	di➊vo➋nis
diwarnai	di➊war➋nai
diyakini	di➊ya➋ki➋ni
dokter	dok➊ter
dokumen	do➊ku➊men
dolar	do➊lar
dollar	dol➊lar
domestik	do➊mes➊tik
donor	do➊nor
dramatis	dra➊ma➊tis
drastis	dras➊tis
duduk	du➊duk
dugaan	du➋ga➊an
dukungan	du➋kung➊an
dulu	du➊lu
dunia	du➊nia
duta	du➊ta
editor	edi➊tor
efektif	efek➊tif
ekonomi	eko➊no➊mi
eksekusi	ek➊se➊ku➊si
eksekutif	ek➊se➊ku➊tif
ekspor	eks➊por
ekstremis	eks➊tre➊mis
ekstrim	eks➊trim
ekstrimis	eks➊tri➊mis
elektronik	elek➊tro➊nik
